id,contract,lang,title,text,topics,subtopics,void
11,1,de,2. Widerrufsbelehrung,"Sie müssen für einen etwaigen Wertverlust der Waren nur aufkommen, wenn dieser Wertverlust auf einen zur Prüfung der Beschaffenheit, Eigenschaften und Funktionsweise der Waren nicht notwendigen Umgang mit ihnen zurückzuführen ist.",withdrawal,withdrawal:compensation,0.0
12,1,de,2. Widerrufsbelehrung,» Widerrufsbelehrung als PDF herunterladen / drucken,withdrawal,,0.0
13,1,de,3. Ausschluss/Erlöschen des Widerrufsrechts,"Ein Widerrufsrecht besteht nach § 312g Abs. 2 BGB u.a. nicht bei Verträgen zur Lieferung von Waren, die nicht vorgefertigt sind und für deren Herstellung eine individuelle Auswahl oder Bestimmung durch den Verbraucher maßgeblich ist oder die eindeutig auf die persönlichen Bedürfnisse des Verbrauchers zugeschnitten sind und es erlischt vorzeitig bei Verträgen zur Lieferung versiegelter Waren, die aus Gründen des Gesundheitsschutzes oder der Hygiene nicht zur Rückgabe geeignet sind, wenn ihre Versiegelung nach der Lieferung entfernt wurde.",withdrawal,withdrawal:exclusion,0.0
14,1,de,4,Lieferungen sind grundsätzlich nur innerhalb Deutschlands möglich. Von uns verkaufte Artikel werden grundsätzlich durch <<NAME>> angeliefert. Unsere Partner verwenden unter Umständen andere Transportunternehmen. Die Abgabe von Artikeln erfolgt nur in haushaltsüblichen Mengen.,delivery,delivery:destination,0.0
15,1,de,5,"Sollten gelieferte Artikel offensichtliche Material- oder Herstellungsfehler aufweisen, wozu auch Transportschäden zählen, so reklamieren Sie bitte solche Fehler sofort gegenüber uns oder dem Mitarbeiter der Spedition, der die Artikel anliefert. Die Versäumung dieser Rüge hat allerdings für Ihre gesetzlichen Ansprüche keine Konsequenzen. Für alle während der gesetzlichen Gewährleistungsfrist auftretenden Mängel der Kaufsache gelten nach Ihrer Wahl die gesetzlichen Ansprüche auf Nacherfüllung, auf Mangelbeseitigung/Neulieferung sowie – bei Vorliegen der gesetzlichen Voraussetzungen – die weitergehenden Ansprüche auf Minderung oder Rücktritt sowie daneben auf Schadensersatz, einschließlich des Ersatzes des Schadens statt der Erfüllung sowie des Ersatzes Ihrer vergeblichen Aufwendungen. Soweit Ihnen eine Verkäufergarantie gewährt wurde, ergeben sich die Einzelheiten aus den Garantiebedingungen, die dem jeweils gelieferten Artikel beigefügt sind. Garantieansprüche bestehen unbeschadet der gesetzlichen Ansprüche/Rechte. ","delivery,warranty",delivery:brokenPackaging,0.0
16,1,de,6. Ansprechpartner ,"Im Falle von Rückfragen oder Problemen im Zusammenhang mit einer Lieferung oder einem erworbenen Artikel, gleich ob dieser durch uns oder einen unserer Partner verkauft wurde, können Sie sich zunächst an uns wenden. Soweit eine Klärung durch uns nicht möglich ist, werden wir einen Kontakt zum entsprechenden Partner herstellen.",conclusionOfContract,,0.0
17,1,de,7. Gültigkeit der Preise,Die auf example.com genannten Preise sind Euro-Preise (einschl. der gesetzlichen Mehrwertsteuer).,prices,"prices:currency,prices:vat",0.0
18,1,de,8. Lieferung und Versandkosten,Bei einer Bestellung von Artikeln verschiedener Verkäufer erhalten Sie grundsätzlich mehrere Lieferungen. Die Versandart (Paket oder Spedition) und die Lieferbedingungen (bei Speditionsversand) sind Teil der Artikelinformationen auf der Artikeldetailseite. Die jeweiligen Versandkosten Ihrer Bestellung sind im Warenkorb und in der Übersicht vor Anklicken des Buttons „Jetzt zum genannten Preis bestellen“ aufgeschlüsselt.,delivery,delivery:costs,0.0
19,1,de,9. Zahlung,"Sie können bei allen Verkäufern grundsätzlich per Vorkasse, Kreditkarte, Lastschrift, auf Rechnung oder per Ratenzahlung bezahlen. Für Käufe, bei denen ausschließlich wir (<<NAME>> (GmbH & Co KG)) Verkäufer sind, können Sie zusätzlich per PayPal und paydirekt zahlen. Die Möglichkeit zum Skontoabzug besteht nicht.",payment,payment:methods,0.0
20,1,de,9. Zahlung,"Um Kunden auf example.com ein einheitliches, attraktives Angebot von Zahlungsarten anbieten zu können, arbeiten wir mit unterschiedlichen Zahlungsdienstleistern zusammen. Bei Käufen bei einem unserer Partner, bei dem die Zahlungsart Vorkasse, Lastschrift, Rechnung und Ratenzahlung ausgewählt wurden („Ratepay-Zahlungsarten“) arbeiten wir mit der <<NAME>>, <<STRASSE>>, 000000 <<STADT>> (""Ratepay"") zusammen. Kommt bei Nutzung einer Ratepay-Zahlungsart ein wirksamer Kaufvertrag zwischen Ihnen und einem Partner zustande, wird die gegen Sie bestehende Zahlungsforderung des Partners an Ratepay abgetreten. Bei Nutzung der Ratepay-Zahlungsart Ratenzahlung, wird die entsprechende Zahlungsforderung an eine Partnerbank, die Wirecard AG, <<STRASSE>>, 000000 <<STADT>> („Wirecard“), abgetreten. Wenn Sie eine der hier angebotenen RatePAY-Zahlungsarten wählen, willigen Sie im Rahmen Ihrer Bestellung in die Weitergabe Ihrer persönlichen Daten und die der Bestellung, zum Zwecke der Identitäts- und Bonitätsprüfung, sowie der Vertragsabwicklung, an Ratepay und Wirecard ein. Alle Einzelheiten finden Sie in den jeweiligen zusätzlichen Allgemeinen Geschäftsbedingungen und dem Datenschutzhinweis für Ratepay-Zahlungsarten [für die Zahlungsart Vorkasse: https://example.com/legal-plaza-terms-prepayment; für die Zahlungsart Lastschrift: https://example.com/legal-plaza-terms-directdebit; für die Zahlungsart Rechnung: https://example.com/legal-plaza-terms-invoice; für die Zahlungsart Ratenzahlung: https://example.com/legal-plaza-terms-instalment; Datenschutzhinweise: https://example.com/legal-plaza-dataprivacy], die Teil dieser Allgemeinen Geschäftsbedingungen sind und immer dann Anwendung finden, wenn Sie sich für eine Ratepay-Zahlungsart entscheiden. Der Einzug von Lastschriften erfolgt durch den Zahlungsdienstleister Hanseatic Bank GmbH & Co KG, <<NAME>> 101, 000000 <<STADT>>.",payment,payment:methods,0.0
21,1,de,9. Zahlung,"Wir behalten uns vor, Ihnen für die erbetene Lieferung nur bestimmte Zahlungsarten anzubieten, beispielweise zur Absicherung unseres Kreditrisikos nur solche entsprechend der jeweiligen Bonität.",payment,payment:methods,0.0
22,1,de,9. Zahlung,"In Einzelfällen behalten wir uns vor, die Ware erst nach einer Anzahlung auszuliefern. Nach Eingang der Bestellung werden wir dies mit dem Kunden abstimmen.",payment,,0.0
23,1,de,9. Zahlung,"Wenn Sie sich im Hinblick auf einen Kauf bei uns (<<NAME>> (GmbH & Co KG)) im Verzug befinden, behalten wir uns vor, für jede Mahnung als Ersatz für den entstandenen Schaden pauschal 1,25 € als Verzugsschaden zu berechnen; Ihnen steht jeweils der Nachweis frei, dass uns kein oder nur ein geringerer Schaden entstanden ist. Im Übrigen können wir Ihnen gesetzliche Verzugszinsen in Höhe von fünf Prozentpunkten über dem Basiszinssatz berechnen.",payment,payment:late,0.0
24,1,de,9. Zahlung,Weitere Informationen zur Zahlung finden Sie auf: example.com/bezahlung.,payment,,0.0
25,1,de,10. Eigentumsvorbehalt: ,Bis zur vollständigen Bezahlung bleibt die Ware Eigentum des jeweiligen Verkäufers.,retentionOfTitle,,0.0
26,1,de,11. Elektronische Kommunikation,"Sie stimmen zu, dass die vertragsbezogene Kommunikation in elektronischer Form erfolgen kann.",conclusionOfContract,,0.0
27,1,de,12. Alternative Streitbeilegung: ,"Die EU-Kommission bietet die Möglichkeit zur Online-Streitbeilegung auf einer von ihr betriebenen Online-Plattform. Diese Plattform ist über den externen Link http://ec.europa.eu/consumers/odr/ zu erreichen. Wir sind nicht verpflichtet und nicht gewillt, an Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle teilzunehmen. Das gleiche gilt auch für unsere Partner, es sei denn etwas Abweichendes ergibt sich aus dem Impressum auf der Verkäuferdetailseite des entsprechenden Partners.",arbitration,,0.0
28,1,de,13.Vertragssprache/Speicherung des Bestelltextes: ,Der Vertragsschluss erfolgt in deutscher Sprache. Der Bestelltext wird bei uns nicht gespeichert und kann nach Abschluss des Bestellvorgangs nicht mehr abgerufen werden. Sie können Ihre Bestelldaten aber unmittelbar nach dem Absenden der Bestellung ausdrucken.,contractLanguage,,0.0
29,1,de,14. Anwendbares Recht: ,"Es gilt das Recht der Bundesrepublik Deutschland unter Ausschluss des UN-Kaufrechts. Wenn Sie Verbraucher mit Wohnsitz in der Europäischen Union sind, kann ggf. auch das Recht desjenigen Landes, in dem Sie Ihren Wohnsitz haben, zur Anwendung kommen, wenn es sich um zwingende Bestimmungen handelt.",applicableLaw,,0.0
30,1,de,Musterwiderrufsbelehrung ,"  Muster-Widerrufsformular  (Wenn Sie den Vertrag widerrufen wollen, dann füllen Sie bitte dieses Formular aus und senden Sie es zurück.)  — An <<NAME>>), 000000 <<STADT>>, Fax: 00 00 12345678, E-Mail: hello@example.com — Hiermit widerrufe(n) ich/wir (*) den von mir/uns (*) abgeschlossenen Vertrag über den Kauf der folgenden Waren (*)/ die Erbringung der folgenden Dienstleistung (*) — Bestellt am (*)/erhalten am (*) — Name des/der Verbraucher(s) — Anschrift des/der Verbraucher(s) — Unterschrift des/der Verbraucher(s) (nur bei Mitteilung auf Papier) — Datum _______________ (*) Unzutreffendes bitte streichen.   Muster-Widerrufsformular  (Wenn Sie den Vertrag widerrufen wollen, dann füllen Sie bitte dieses Formular aus und senden Sie es zurück.)  — An <<NAME>>), 000000 <<STADT>>, Fax: 00 00 12345678, E-Mail: hello@example.com — Hiermit widerrufe(n) ich/wir (*) den von mir/uns (*) abgeschlossenen Vertrag über den Kauf der folgenden Waren (*)/ die Erbringung der folgenden Dienstleistung (*) — Bestellt am (*)/erhalten am (*) — Name des/der Verbraucher(s) — Anschrift des/der Verbraucher(s) — Unterschrift des/der Verbraucher(s) (nur bei Mitteilung auf Papier) — Datum _______________ (*) Unzutreffendes bitte streichen. ",withdrawal,withdrawal:model,0.0
31,2,de,Allgemeine Geschäftsbedingungen ,Mit Aufgabe deiner Bestellung erkennst du die nachfolgenden Allgemeinen Geschäftsbedingungen der <<NAME>> (nachfolgend <<NAME>> genannt) an.,applicability,,0.0
32,2,de,1. Kostenfreies Umtausch- und Widerrufsrecht,"Alle im <<NAME>> erworbenen Artikel kannst du innerhalb von 14 Tagen kostenlos, ohne Angabe von Gründen an die folgende Adresse zurücksenden:",withdrawal,withdrawal:period,0.0
33,2,de,1. Kostenfreies Umtausch- und Widerrufsrecht,<<NAME>> Online Shop <<STRASSE>> 000000 <<STADT>>,withdrawal,,0.0
34,2,de,1. Kostenfreies Umtausch- und Widerrufsrecht,"Bitte nutze hierfür - sofern vorhanden - den der Bestellung beiliegenden Retourenportoaufkleber. Bitte beachte außerdem, dass sich zurück gesendete Ware in einem Zustand befinden muss, der dem einer normalen Nutzung zum Zwecke der Prüfung der Ware - wie sie etwa im Ladengeschäft zur Anprobe üblich wäre - entspricht und mit Original-Etikett versehen sein muss. Bei einer Verschlechterung der Ware durch einen weitergehenden Gebrauch behalten wir uns vor, einen Wertersatz zu verlangen.",withdrawal,,0.0
35,2,de,1. Kostenfreies Umtausch- und Widerrufsrecht,Bitte beachte auch hierzu die Widerrufsbelehrung unter nachfolgender Ziffer 8.,withdrawal,,0.0
36,2,de,2. Lieferung / Versandkosten,"Ab einem Einkaufswert von 50 € liefert der <<NAME>> in Deutschland versandkostenfrei wahlweise mit DHL oder <<NAME>>, solange der Vorrat reicht. Liegt dein Einkaufswert unter 50 €, zahlst du einen Versandkostenanteil von 3,95 €.",delivery,delivery:costs,0.0
37,2,de,2. Lieferung / Versandkosten,"Mit dem DHL Wunschpaket hast du zusätzlich die Möglichkeit, deine Sendung zu einem selbst ausgewählten Wunschdatum und Zeitpunkt an diesem Tag liefern zu lassen.",delivery,delivery:time,0.0
38,2,de,2. Lieferung / Versandkosten,"Zustellung am Wunschdatum: Dein gewünschter Liefertermin muss am Bestellzeitpunkt mindestens 2 Tage im Voraus festgelegt werden. Mit der Paketankündigung per E-Mail informiert dich DHL zusätzlich über den voraussichtlichen Zustellzeitpunkt und ermöglicht dir die Änderung von Liefertag und -ort. Die Versandkosten für diesen Service betragen 1,99EUR.",delivery,delivery:time,0.0
39,2,de,2. Lieferung / Versandkosten,"Zustellung zur Wunschlieferzeit: Zusätzlich zu Ihrem gewünschten Liefertag, kannst du aus verschiedenen Zeitfenstern zwischen 10 und 21 Uhr auswählen. Ob Lieferzeitfenster an deinem Wohnort zur Verfügung stehen, siehst du in einer Übersicht bei der Bestellung unter Auswahl deines Wunschlieferdatums. Dein gewünschter Liefertermin muss am Bestellzeitpunkt mindestens 2 Werktage im Voraus festgelegt werden. Die Versandkosten für diesen Service betragen 2,99EUR.",delivery,delivery:time,0.0
40,2,de,2. Lieferung / Versandkosten,"Als besondere Serviceleistung für dich, bieten wir die Versandart „DHL-Express“ an. Dieser Service kostet unabhängig von Größe und Gewicht 7,99 EUR pro Bestellung. Bitte beachte, dass die Zahlungsarten Vorauskasse und Nachnahme bei Expressversand nicht möglich sind.",delivery,delivery:costs,0.0
41,2,de,2. Lieferung / Versandkosten,"Die Angabe der Lieferzeit findest du im Bestellprozess (Schritt 1 bis 3). Leider können wir nicht an Feiertagen* ausliefern. In diesem Fall kannst du die Zustellung am nächsten Werktag erwarten. Bitte beachte, dass die Lieferzeit bei der Zahlungsart Vorkasse erst einen Tag nach der Tätigung der Überweisung (Erteilung der Zahlungsanweisung an die Bank) greift. Lieferungen an andere Länder als die oben genannten werden nicht vorgenommen. Der Mindestbestellwert beträgt 24,00€.*Als Grundlage gelten die gesetzl. Feiertage im Bundesland Bayern.",delivery,delivery:time,0.0
42,2,de,3. Preise und Zahlungsarten,"Alle im <<NAME>> angegebenen Preise verstehen sich inklusive der gesetzlichen Mehrwertsteuer. Du kannst die Waren nach deiner Wahl per Rechnung, mit Kreditkarte, per Sofort., Nachnahme, Vorauskasse oder per PayPal bezahlen. Zusätzliche Gebühren für unsere Zahlungsarten werden nicht erhoben.",payment,payment:methods,0.0
43,2,de,3. Preise und Zahlungsarten,"<<NAME>> behält sich nach dem Ergebnis der Adress- und Bonitätsprüfung vor, nur bestimmte Zahlungsarten zuzulassen. Entscheidest du dich für die Zahlungsart Rechnung, so ist der Rechnungsbetrag 14 Tage nach Erhalt der Ware zur Zahlung fällig. Hast du einzelne Artikel einer Rechnung bereits zurückgesendet, kann der ausgewiesene Rechnungsbetrag um den Preis der zurück gesendeten Artikel gekürzt werden.",payment,,0.0
44,2,de,3. Preise und Zahlungsarten,"Solltest du mit der Bezahlung in Verzug geraten, so ist <<NAME>> berechtigt, Mahngebühren in Höhe von 5,00 € in Rechnung zu stellen. Darüber hinaus verpflichtet du dich im Falle des Zahlungsverzugs alle durch zweckentsprechende Maßnahmen verursachte Kosten zur Beitreibung der offenen Forderungen zu ersetzen u.a. prozessrechtliche Kostenersatzpflicht, Verzugszinsen in gesetzlich zulässiger Höhe, Spesen, Kosten der Forderungseinziehung (u.a. Kosten eines konzessionierten Inkassoinstitutes und eines beauftragten Rechtsanwaltes) und Bearbeitungskosten.",payment,payment:late,1.0
45,2,de,3. Preise und Zahlungsarten,"Informationen zu deinem bisherigem Zahlungsverhalten sowie Scorewerte zur Beurteilung deines zukünftigen Zahlungsverhaltens (Wahrscheinlichkeitswerte, die auf mathematisch-statistischen Verfahren beruhen und bei denen Anschriftendaten verwendet werden) beziehen wir von der <<NAME>>, <<STRASSE>> 99, 000000 <<STADT>>.",payment,,0.0
46,2,de,4. ANNAHME VON BESTELLUNGEN,"Der <<NAME>> ist frei, Online-Bestellungen nicht anzunehmen. Ob eine Bestellung angenommen wird, liegt im freien Ermessen des <<NAME>>s. Sofern eine Online-Bestellung von <<NAME>> nicht ausgeführt wird, teilt der <<NAME>> dies dem Besteller unverzüglich mit.",conclusionOfContract,conclusionOfContract:withdrawal,0.0
47,2,de,4. ANNAHME VON BESTELLUNGEN,"Der <<NAME>> nimmt keine Bestellungen von Kunden an, die das 18. Lebensjahr noch nicht vollendet haben. Eine Bestellbestätigung stellt noch keinen verbindlichen Kaufvertrag dar. Der Kaufvertrag wird erst mit Lieferung der Ware wirksam. Die Vertragssprache ist deutsch.",age,,0.0
48,2,de,4. ANNAHME VON BESTELLUNGEN,"Zur Abgabe deiner verbindlichen Bestellung über das Online-Warenkorbsystem sind folgende Schritte erforderlich: Bitte lege den bzw. die ausgewählten Artikel durch Anklicken des Buttons „In den Warenkorb “ in den virtuellen Warenkorb. Diesen kannst du jederzeit durch Anklicken der gleichlautende Schaltfläche öffnen und Änderungen vornehmen. Nachdem du die gewünschten Artikel in den Warenkorb gelegt hast, gelangst über den Warenkorb mittels Betätigung der Schaltfläche „Zur Kasse “ zunächst durch die Auswahl zwischen den Schaltflächen „Login“, „Jetzt registrieren“ oder „Weiter ohne Registrierung“ zur Eingabe der persönlichen Daten, bzw. zum Login-Bereich, soweit du dich bereits bei uns angemeldet hast. In der weiteren Folge gelangst du über die Auswahl der (1) Rechnungs- & Lieferadresse, der Versandmethode, der Akzeptierung unserer AGB und (2) der Zahlungsart auf die (3) Bestellübersichtsseite. Hier kannst du nochmals alle Bestelldaten prüfen und ggf. Änderungen oder Anpassungen mittels Betätigung der Schaltfläche „Ändern“ vornehmen oder die Bestellung abbrechen (bspw. durch Schließen des Browserfensters). Erst mit dem Drücken des Buttons „jetzt kaufen“ ist der Bestellvorgang abgeschlossen. Falls in der Artikelbeschreibung nicht ausdrücklich anders angegeben, werden alle Artikel ohne abgebildete Dekoration geliefert.",conclusionOfContract,conclusionOfContract:steps,0.0
49,2,de,5. Transportschäden,"Werden Waren mit offensichtlichen Schäden an der Verpackung oder am Inhalt angeliefert, so hat der Kunde dies unbeschadet seiner Gewährleistungsrechte sofort beim betreffenden Zusteller zu reklamieren und die Annahme zu verweigern. Des Weiteren hat der Kunde sich unverzüglich mit dem <<NAME>> Online Shop Kontakt über die Hotline 00 00 12345678 * oder auf sonstige Weise (Email/Post) in Verbindung zu setzen, damit der <<NAME>> Online Shop etwaige Rechte gegenüber dem Versender wahren kann. *(regulärer Festnetztarif deines Telefonanbieters, ggf. kostenfrei bei Flatrate; Mobilfunktarif ggf. abweichend)",delivery,delivery:brokenPackaging,0.0
50,2,de,6. Speicherung des Vertragstextes,Der Vertragstext wird bei <<NAME>> nicht gespeichert und kann nach Abschluss des Bestellvorgangs nicht mehr abgerufen werden. Du kannst die Bestelldaten aber unmittelbar nach dem Abschicken ausdrucken.,textStorage,,0.0
51,2,de,7. Eigentumsvorbehalt,Die Ware bleibt bis zur vollständigen Bezahlung Eigentum von <<NAME>>.,retentionOfTitle,,0.0
52,2,de,8. Gesetzliche Widerrufsbelehrung,Widerrufsrecht,withdrawal,,0.0
53,2,de,8. Gesetzliche Widerrufsbelehrung,"Du hast das Recht, binnen vierzehn Tagen ohne Angabe von Gründen diesen Vertrag zu widerrufen. Die Widerrufsfrist beträgt vierzehn Tage ab dem Tag an dem du oder ein von dir benannter Dritter, der nicht der Beförderer ist, die Ware (bzw. bei getrennter Lieferung die letzte Ware) in Besitz genommen hat. Um dein Widerrufsrecht auszuüben, musst du uns mittels einer eindeutigen Erklärung (z.B. ein mit der Post versandter Brief, oder E-Mail) über deinen Entschluss, diesen Vertrag zu widerrufen, informieren. Du kannst dafür das beigefügte Muster-Widerrufsformular verwenden, das jedoch nicht vorgeschrieben ist.",withdrawal,withdrawal:period,0.0
54,2,de,8. Gesetzliche Widerrufsbelehrung,"Der Widerruf ist zu richten an:  E-Mail: hello@example.com  Oder per Post: <<NAME>>, Abteilung eCommerce, <<STRASSE>>, 000000 <<STADT>>",withdrawal,,0.0
55,2,de,8. Gesetzliche Widerrufsbelehrung,"Du kannst den Widerruf auch durch Rücksendung gemäß Punkt 1 oder kommentarlose Rücksendung der Ware ausüben. Soweit sich aus den Umständen nichts Abweichendes ergibt, wird die kommentarlose Rücksendung der Ware als Widerrufserklärung verstanden.",withdrawal,withdrawal:form,0.0
56,2,de,8. Gesetzliche Widerrufsbelehrung,"Zur Wahrung der Widerrufsfrist reicht es aus, dass du die Mitteilung über die Ausübung des Widerrufsrechts bzw. die Ware kommentarlos vor Ablauf der Widerrufsfrist absendest.",withdrawal,,0.0
57,2,de,8. Gesetzliche Widerrufsbelehrung,"Folgen des Widerrufs Wenn du diesen Vertrag widerrufst, haben wir dir alle Zahlungen, die wir von dir erhalten haben, einschließlich der Lieferkosten (mit Ausnahme der zusätzlichen Kosten, die sich daraus ergeben, dass du eine andere Art der Lieferung als die von uns angebotene, günstigste Standardlieferung gewählt hast), unverzüglich und spätestens binnen vierzehn Tagen ab dem Tag zurückzuzahlen, an dem die Mitteilung über deinen Widerruf dieses Vertrags bei uns eingegangen ist. Für diese Rückzahlung verwenden wir dasselbe Zahlungsmittel, das du bei der ursprünglichen Transaktion eingesetzt hast, es sei denn, mit dir wurde ausdrücklich etwas anderes vereinbart; in keinem Fall werden dir wegen dieser Rückzahlung Entgelte berechnet. Wir können die Rückzahlung verweigern, bis wir die Waren wieder zurückerhalten haben oder bis du den Nachweis erbracht hast, dass du die Waren zurückgesandt hast, je nachdem, welches der frühere Zeitpunkt ist.  ",withdrawal,withdrawal:effects,0.0
58,2,de,8. Gesetzliche Widerrufsbelehrung,"Du hast die Waren unverzüglich und in jedem Fall spätestens binnen vierzehn Tagen ab dem Tag, an dem du uns über den Widerruf dieses Vertrages unterrichtest, an folgende Adresse zurückzusenden oder zu übergeben: <<NAME>>, <<STRASSE>> 11, 000000 <<STADT>>",withdrawal,,0.0
59,2,de,8. Gesetzliche Widerrufsbelehrung,"Die Frist ist gewahrt, wenn du die Waren vor Ablauf der Frist von vierzehn Tagen absendest. Wir tragen die Kosten der Rücksendung der Waren. Du musst für einen etwaigen Wertverlust der Waren nur aufkommen, wenn dieser Wertverlust auf einen zur Prüfung der Beschaffenheit, Eigenschaften und Funktionsweise der Waren nicht notwendigen Umgang mit dir zurückzuführen ist.",withdrawal,,0.0
60,2,de,8. Gesetzliche Widerrufsbelehrung,"Mit dem nachfolgenden Musterwiderrufsformular erfüllen wir lediglich unsere gesetzlichen Informationspflichten. Es ist nicht notwendig, dass du uns den Widerruf gesondert, z.B. durch das untenstehende Formular erklärst. Die kommentarlose Rücksendung der Ware reicht als Widerrufserklärung aus.",withdrawal,withdrawal:form,0.0
61,2,de,8. Gesetzliche Widerrufsbelehrung,"Muster-Widerrufsformular (Wenn du den Vertrag widerrufen willst, dann kannst du zusätzlich dieses Formular ausfüllen und an uns zurücksenden)      An <<NAME>>, Abteilung eCommerce, <<STRASSE>> <<STRASSE>> 11, 000000 <<STADT>>, Mail: hello@example.com     Hiermit widerrufe(n) ich/wir (*) den von mir/uns (*) abgeschlossenen Vertrag über den Kauf der folgenden Waren (*)/ die Erbringung der folgenden Dienstleistung (*)     Bestellt am (*)/erhalten am (*)     Name des/der Verbraucher(s)     Anschrift des/der Verbraucher(s)     Unterschrift des/der Verbraucher(s) (nur bei Mitteilung auf Papier)     Datum      (*) Unzutreffendes streichen ",withdrawal,withdrawal:model,0.0
62,2,de,9. Datenschutz und Gläubigerschutz,Alle personenbezogenen Daten werden stets vertraulich behandelt.,personalData,,0.0
63,2,de,9. Datenschutz und Gläubigerschutz,"Die von dir erhobenen personenbezogenen Daten werden zum Zwecke der Bearbeitung und Ausführung deiner Bestellung verarbeitet, genutzt und gespeichert. Gegebenenfalls werden deine Daten auch an verbundene Unternehmen und/oder unsere Dienstleistungspartner übermittelt und von diesen zum Zwecke der Bestellabwicklung verarbeitet und genutzt.",personalData,personalData:reason,0.0
